Image	x	y	width	height	score
5D0S5FMT.jpg	42.9243	497.224	85.9641	281.641	-0.619264
5D0S5FMU.jpg	4705.82	1092.93	63.9736	175.88	-0.534438
5D0S5FMU.jpg	4411.13	1150.41	44.2256	138.527	-0.596172
5D0S5FMW.jpg	3529.01	553.691	49.3423	155.645	-0.528423
5D0S5FMW.jpg	1258.51	547.364	45.2592	145.633	-0.6449
5D0S5FMX.jpg	1564.74	642.759	46.6047	132.885	-0.0248635
5D0S5FN0.jpg	1542.64	655.518	105.29	317.913	-0.173442
5D0S5FN0.jpg	1322.35	647.595	107.997	329.883	-0.458529
5D0S5FN0.jpg	3527.04	553.634	54.4888	153.954	-0.474031
5D0S5FN3.jpg	1545.38	692.121	86.5604	274.456	-0.0913037
5D0S5FN3.jpg	3768.34	1215.8	40.9175	107.172	-0.316894
5D0S5FN3.jpg	1351.5	836.601	53.4412	152.381	-0.390084
5D0S5FN5.jpg	1549.77	661.064	83.9941	282.924	-0.162327
5D0S5FN5.jpg	3526.53	549.526	54.2961	158.146	-0.243252
5D0S5FN5.jpg	1213.44	1091.08	88.118	277.384	-0.306748
5D0S5FN5.jpg	4227.41	1147.28	192.307	543.726	-0.409987
5D0S5FN6.jpg	1331.14	777.375	51.4132	147.898	-0.320314
5D0S5FN6.jpg	1556.44	757.593	54.8447	174.464	-0.460315
5D0S5FN7.jpg	3684.78	1173.04	44.3396	137.443	-0.118357
5D0S5FN7.jpg	1541.21	649.292	106.119	319.974	-0.313242
5D0S5FN7.jpg	1425.77	658.913	52.632	151.723	-0.363159
5D0S5FN7.jpg	3520.39	1240.29	39.4094	118.218	-0.503522
5D0S5FN7.jpg	322.029	1005.72	48.0383	163.711	-0.579975
5D0S5FN8.jpg	1542.37	633.244	99.5237	312.443	-0.266105
5D0S5FN8.jpg	3167.12	1192.7	38.6382	125.562	-0.439816
5D0S5FN8.jpg	2839.34	1184.75	45.3074	144.512	-0.560517
5D0S5FND.jpg	1361.59	857.638	46.8286	136.444	-0.270976
5D0S5FND.jpg	1335.3	679.631	97.865	306.74	-0.484747
5D0S5FND.jpg	3518.21	535.005	53.6707	163.201	-0.525079
5D0S5FND.jpg	1522.84	607.954	122.659	351.957	-0.554357
5D0S5FND.jpg	22.6483	498.379	99.0581	275.937	-0.594449
5D0S5FNH.jpg	2331.94	881.453	55.1875	164.655	-0.448244
5D0S5FNJ.jpg	3815.34	1191.27	40.5063	122.603	-0.461595
5D0S5FNJ.jpg	2891.24	983.265	85.6272	268.517	-0.609702
5D0S5FNK.jpg	1544.77	574.225	50.298	148.109	-0.235635
5D0S5FNK.jpg	1112.71	1120.35	39.0193	115.392	-0.329272
5D0S5FNO.jpg	1542.52	548.504	62.0634	176.696	0.1186
5D0S5FNQ.jpg	2306.33	890.625	48.6001	139.258	-0.405067
5D0S5FNR.jpg	1555.72	750.559	55.4851	186.577	0.17575
5D0S5FNR.jpg	1396.65	454.154	52.0464	155.669	-0.0129189
5D0S5FNR.jpg	3839.84	604.761	42.405	108.912	-0.459384
5D0S5FNR.jpg	1505.01	663.043	100.697	257.317	-0.478477
5D0S5FNW.jpg	1711.26	825.734	52.6838	153.787	-0.56131
5D0S5FNZ.jpg	1330.87	784.647	50.0251	155.74	-0.30983
5D0S5FNZ.jpg	3798.69	1095.04	40.5889	134.649	-0.556809
5D0S5FNZ.jpg	3843.27	571.015	42.1899	139.351	-0.573349
5D0S5FO1.jpg	3280.32	1212.44	37.7463	111.124	0.502734
5D0S5FO7.jpg	1337.07	1193.27	39.5004	119.945	1.20634
5D0S5FO7.jpg	881.394	1255.63	45.0533	130.251	-0.535033
5D0S5FO9.jpg	746.319	1240.68	37.0131	115.559	-0.181628
5D0S5FO9.jpg	1645.69	672.132	65.5272	204.855	-0.29952
5D0S5FOA.jpg	3171.7	1101.75	46.7788	142.897	-0.508288
5D0S5FOA.jpg	3263.33	830.894	42.6697	129.677	-0.526138
5D0S5FOB.jpg	2660.05	1226.46	76.3718	242.645	-0.442465
5D0S5FOE.jpg	572.243	1123.12	41.4945	139.543	-0.421035
5D0S5FOG.jpg	421.403	1178.75	44.2224	135.299	0.411291
5D0S5FOG.jpg	2982.32	1477.42	93.3381	311.808	-0.50038
5D0S5FOG.jpg	2371.26	1114.05	45.6899	133.848	-0.600295
5D0S5FOJ.jpg	781.05	1175.72	49.752	149.368	-0.0660337
5D0S5FOK.jpg	3386.86	1135.29	37.7253	120.802	-0.574199
5D0S5FOK.jpg	2467.39	912.99	42.322	130.729	-0.584399
5D0S5FOL.jpg	3151.83	551.864	59.3457	175.798	-0.183441
5D0S5FOL.jpg	296.984	655.898	106.556	306.272	-0.52348
5D0S5FOO.jpg	379.181	771.493	52.8184	157.263	0.104405
5D0S5FP3.jpg	982.533	1153.53	41.66	120.077	-0.407965
5D0S5FPA.jpg	4258.51	792.915	49.7026	154.402	-0.45405
5D0S5FPD.jpg	3757.71	700.74	47.8381	132.147	-0.513515
5D0S5FPD.jpg	1751.28	1117.9	40.0852	120.527	-0.54016
5D0S5FPG.jpg	444.305	935.552	115.749	345.179	-0.486762
5D0S5FPG.jpg	1724.4	1110.15	57.6196	175.529	-0.6947
5D0S5FPP.jpg	1656.64	1265.51	92.8818	277.112	0.207428
5D0S5FPX.jpg	2095.83	983.753	46.4951	138.826	-0.229082
5D0S5FQ7.jpg	2490.8	990.515	42.7744	142.349	0.218092
5D0S5FQ8.jpg	3100.64	1087.37	44.1831	142.279	-0.344716
5D0S5FQ8.jpg	2755.74	1065.71	77.4294	194.82	-0.373561
5D0S5FQE.jpg	4659.71	1085.51	40.7983	144.697	-0.124384
5D0S5FQE.jpg	3990.5	1098.98	38.7236	117.82	-0.2956
5D0S5FQF.jpg	262.304	991.745	87.426	276.588	-0.298452
5D0S5FQG.jpg	15.0468	1009.12	69.0971	219.084	-0.132127
5D0S5FQI.jpg	4071.86	994.732	45.7231	134.6	-0.276964
5D0S5FQI.jpg	1753.6	1120.15	44.4026	135.034	-0.461519
5D0S5FQP.jpg	2497.23	1020.14	37.9937	114.997	-0.336122
5D0S5FQQ.jpg	2425.41	1120.34	50.2739	137.828	-0.561344
5D0S5FQR.jpg	2037.52	995.418	76.437	249.986	-0.254145
5D0S5FQV.jpg	3880.89	1188.97	38.373	115.504	-0.00461619
5D0S5FQV.jpg	4095.35	655.139	48.3591	158.438	-0.215723
5D0S5FQV.jpg	3768.73	567.128	90.1162	275.09	-0.450604
5D0S5FQW.jpg	1678.31	1264.04	76.2953	246.336	0.148249
5D0S5FR2.jpg	767.96	1197.33	41.2886	113.699	0.0855433
5D0S5FR2.jpg	3767.83	566.066	90.2854	278.275	-0.272171
5D0S5FR3.jpg	4611.76	641.239	47.2627	137.189	-0.482582
5D0S5FR3.jpg	1380.06	1139.76	74.8518	232.728	-0.483705
5D0S5FR3.jpg	1985.28	1128.51	74.8724	238.71	-0.491093
5D0S5FR6.jpg	4605.66	1203.91	50.791	155.94	0.169933
5D0S5FR6.jpg	2074.01	995.617	95.6504	274.093	-0.438183
5D0S5FR8.jpg	1878.04	1082.37	55.6438	181.753	-0.285307
5D0S5FRA.jpg	3879.93	623.465	38.5168	123.588	-0.315574
5D0S5FRB.jpg	2043.36	992.569	89.1664	293.684	-0.242158
5D0S5FRB.jpg	642.069	1054.57	45.6534	141.147	-0.385797
5D0S5FRC.jpg	4575.08	936.648	78.5376	238.743	-0.436401
5D0S5FRC.jpg	2657.2	1225.85	37.2727	119.521	-0.555384
5D0S5FRF.jpg	4098	659.133	49.0078	155.903	-0.208707
5D0S5FRG.jpg	667.226	1196.7	36.9075	116.315	0.298519
5D0S5FRG.jpg	3456.82	1159.93	38.3977	124.849	-0.43293
5D0S5FRH.jpg	558.063	1031.8	53.8093	165.169	-0.412583
5D0S5FRH.jpg	2225.5	929.617	129.594	355.841	-0.570138
5D0S5FRI.jpg	1352.63	1221.97	37.6742	123.091	0.134545
5D0S5FRI.jpg	2812.24	1284.02	95.9177	297.111	-0.0784218
5D0S5FRI.jpg	2578.57	1027.78	36.8689	114.709	-0.258526
5D0S5FRJ.jpg	4161.55	1202.02	37.2412	122.291	0.0982725
